source,target,e_type
TROPICAL SPORTSWEAR INTERNATIONAL CORP.,Savane International Corp.,OWNS
DATAWATCH CORP,interest rate risk,FACES_RISK
DATAWATCH CORP,foreign currency exchange rate risk,FACES_RISK
DATAWATCH CORP,DATAWATCH CORP International Subsidiaries,OWNS
GALEY & LORD INC.,"Galey & Lord Industries, Inc.",OWNS
"Galey & Lord Industries, Inc.","G&L Service Company, North America, Inc.",OWNS
"G&L Service Company, North America, Inc.","Dimmit Industries, S.A. de C.V.",OWNS
GALEY & LORD INC.,Swift Denim Group,OWNS
GALEY & LORD INC.,Klopman International Group,OWNS
GALEY & LORD INC.,"Swift Textiles Europe, Ltd.",OWNS
"Polymer Group, Inc.","DT Acquisition, Inc.",OWNS
GALEY & LORD INC.,"competitive and economic factors in the textile, apparel and home furnishings markets",FACES_RISK
GALEY & LORD INC.,raw materials and other costs,FACES_RISK
GALEY & LORD INC.,weather-related delays,FACES_RISK
GALEY & LORD INC.,general economic conditions,FACES_RISK
MEDIQ Incorporated,"MEDIQ/PRN Life Support Services, Inc.",OWNS
MEDIQ Incorporated,SpectraCair,OWNS
MEDIQ Incorporated,"CH Industries, Inc.",OWNS
MEDIQ Incorporated,"National Patient Care Systems, Inc.",OWNS
"CH Industries, Inc.","CH Medical, Inc.",OWNS
"Bruckmann, Rosser, Sherrill & Co., L.P.",MEDIQ Incorporated,OWNS
"Ferrer Freeman Thompson & Co., LLC",MEDIQ Incorporated,OWNS
"Galen Partners, III L.P.",MEDIQ Incorporated,OWNS
Rotko Entities,MEDIQ Incorporated,OWNS
MEDIQ Incorporated,InnoServ Technologies,OWNS
MEDIQ Incorporated,Cost Containment Pressures,FACES_RISK
IEC Electronics Corp.,"Calidad Electronics, Inc.",OWNS
IEC Electronics Corp.,"IEC - Edinburg Texas, Inc.",OWNS
IEC Electronics Corp.,"Accutek, Inc.",OWNS
IEC Electronics Corp.,IEC Arab Alabama Inc.,OWNS
IEC Electronics Corp.,IEC Electronics - Ireland Limited,OWNS
MEDIQ Incorporated,"MEDIQ/PRN Life Support Services, Inc.",OWNS
"MEDIQ/PRN Life Support Services, Inc.","MEDIQ Management Services, Inc.",OWNS
"MEDIQ/PRN Life Support Services, Inc.",SpectraCair,OWNS
"MEDIQ/PRN Life Support Services, Inc.","CH Medical, Inc.",OWNS
"MEDIQ/PRN Life Support Services, Inc.",Increasing pressure to reduce operating costs and capital expenditures,FACES_RISK
"MEDIQ/PRN Life Support Services, Inc.",Cost containment pressures on health care providers,FACES_RISK
"MEDIQ/PRN Life Support Services, Inc.",Reduced reimbursement levels by Medicare and other third-party payors,FACES_RISK
"MEDIQ/PRN Life Support Services, Inc.",Legislative proposals leading to health care consolidations and managed care acceleration,FACES_RISK
INTERSTATE JOHNSON LANE INC.,CapTrust,OWNS
INTERSTATE JOHNSON LANE INC.,Highly Competitive Environment,FACES_RISK
INTERSTATE JOHNSON LANE INC.,Marketplace Trading Volumes Volatility,FACES_RISK
INTERSTATE JOHNSON LANE INC.,Interest Rate Conditions Volatility,FACES_RISK
INTERSTATE JOHNSON LANE INC.,Revenue and Earnings Variability,FACES_RISK
INTERSTATE JOHNSON LANE INC.,Significant Incremental Cash Requirements,FACES_RISK
INTERSTATE JOHNSON LANE INC.,"Regulatory Liquidity and Capital Requirements (SEC, CFTC, NYSE)",FACES_RISK
CapTrust,"Regulatory Liquidity and Capital Requirements (SEC, NASD)",FACES_RISK
INTERSTATE JOHNSON LANE INC.,Year 2000 Technological Challenge,FACES_RISK
INTERSTATE JOHNSON LANE INC.,Dependence on Third-Party Systems for Year 2000 Compliance,FACES_RISK
INTERSTATE JOHNSON LANE INC.,Inflationary Effects,FACES_RISK
"Flanigan's Enterprises, Inc.","Flanigan's Management Services, Inc.",OWNS
"Flanigan's Enterprises, Inc.","Flanigan's Enterprises, Inc. of Georgia",OWNS
"Flanigan's Enterprises, Inc.",Seventh Street Corp.,OWNS
"Flanigan's Enterprises, Inc.",Big Daddy's #48 Inc.,OWNS
"Flanigan's Enterprises, Inc.","Flanigan's Enterprises, Inc. of Pa.",OWNS
"Flanigan's Enterprises, Inc.",Bankruptcy,FACES_RISK
Subchapter S corporation (franchisee),Chairman of the Board,EMPLOYS
TCI INTERNATIONAL INC.,Broadcast and Communications Division,OWNS
TCI INTERNATIONAL INC.,Signal Processing Division,OWNS
TCI INTERNATIONAL INC.,Test and Measurement Division,OWNS
TCI INTERNATIONAL INC.,Potential Loss from Operations in Fiscal 1999,FACES_RISK
TCI INTERNATIONAL INC.,Contract Termination Risk,FACES_RISK
TCI INTERNATIONAL INC.,Reduced US Government Demand (Post-Cold War),FACES_RISK
TCI INTERNATIONAL INC.,"Declining Economies in Asia, Africa, Middle East",FACES_RISK
TCI INTERNATIONAL INC.,Strong US Dollar Impacting Competitiveness,FACES_RISK
TCI INTERNATIONAL INC.,Delay/Loss of Key Program Awards,FACES_RISK
TCI INTERNATIONAL INC.,Delays in System Acceptance due to Customer Turnover,FACES_RISK
TCI INTERNATIONAL INC.,Foreign Competitors,COMPETES_WITH
Spartech Corporation,Spartech Plastics,OWNS
Spartech Corporation,Spartech Polycom,OWNS
Spartech Corporation,Spartech Color,OWNS
Spartech Corporation,Spartech Vy-Cal Plastics,OWNS
Spartech Corporation,GenPak,OWNS
Spartech Corporation,Hamelin Industries,OWNS
Spartech Corporation,Spartech Profiles,OWNS
Spartech Corporation,Product Components,OWNS
Spartech Corporation,Pawnee Industries,OWNS
Spartech Corporation,Portage Industries,OWNS
Spartech Corporation,Hamelin Group,OWNS
Spartech Corporation,Preferred Plastic Sheet Division of Echlin Inc.,OWNS
Echlin Inc.,Preferred Plastic Sheet Division of Echlin Inc.,OWNS
Spartech Corporation,"Polycom Huntsman, Inc.",OWNS
Spartech Corporation,"Prismaplast Canada, Ltd.",OWNS
Spartech Corporation,"Anjac-Doron Plastics, Inc.",OWNS
"CMG Information Services, Inc.",ADSmart Corporation,OWNS
"CMG Information Services, Inc.","Engage Technologies, Inc.",OWNS
"CMG Information Services, Inc.","Accipiter, Inc.",OWNS
"CMG Information Services, Inc.",InfoMation Publishing Corporation,OWNS
"CMG Information Services, Inc.",NaviSite Internet Services Corporation,OWNS
"CMG Information Services, Inc.",Planet Direct Corporation,OWNS
"CMG Information Services, Inc.",Password Internet Publishing Corporation,OWNS
"CMG Information Services, Inc.","Magnitude Network, LLC",OWNS
"CMG Information Services, Inc.","Open Market, Inc.",OWNS
"CMG Information Services, Inc.",NaviNet,OWNS
"CMG Information Services, Inc.","CMG@Ventures I, LLC",OWNS
"CMG@Ventures I, LLC","Blaxxun Interactive, Inc.",OWNS
"CMG@Ventures I, LLC",GeoCities,OWNS
"CMG@Ventures I, LLC","Lycos, Inc.",OWNS
"CMG@Ventures I, LLC",Parable LLC,OWNS
"CMG@Ventures I, LLC",Vicinity Corporation,OWNS
"CMG Information Services, Inc.","CMG@Ventures II, LLC",OWNS
"CMG@Ventures II, LLC",Chemdex Corporation,OWNS
"CMG@Ventures II, LLC",Critical Path,OWNS
"CMG@Ventures II, LLC",GeoCities,OWNS
"CMG@Ventures II, LLC","KOZ, Inc.",OWNS
"CMG@Ventures II, LLC","Mother Nature's General Store, Inc.",OWNS
"CMG@Ventures II, LLC",Parable LLC,OWNS
"CMG@Ventures II, LLC","Reel.com, Inc.",OWNS
"CMG@Ventures II, LLC","Sage Enterprises, Inc.",OWNS
"CMG@Ventures II, LLC","Silknet Software, Inc.",OWNS
"CMG@Ventures II, LLC","Softway Systems, Inc.",OWNS
"CMG@Ventures II, LLC",Speech Machines plc,OWNS
"CMG@Ventures II, LLC",TicketsLive Corporation,OWNS
"CMG@Ventures II, LLC",Universal Learning Technology,OWNS
"CMG@Ventures II, LLC",Visto Corporation,OWNS
"CMG Information Services, Inc.","CMG@Ventures III, LLC",OWNS
"CMG Information Services, Inc.",SalesLink Corporation,OWNS
"CMG Information Services, Inc.",InSolutions Incorporated,OWNS
"CMG Information Services, Inc.","On-Demand Solutions, Inc.",OWNS
SalesLink Corporation,Pacific Direct Marketing Corporation,OWNS
"CMG Information Services, Inc.",CMG Direct Corporation,OWNS
Planet Direct Corporation,InfoMation Publishing Corporation,OWNS
"Amazon.com, Inc.","Sage Enterprises, Inc.",OWNS
Hollywood Entertainment Corporation,"Reel.com, Inc.",OWNS
Salex Holding Corporation,Pershing Sun,EMPLOYS
"Sun Associates, LLC",Betty Sun,EMPLOYS
Salex Holding Corporation,competition in the automobile asset management business,FACES_RISK
