v_id,v_type
TROPICAL SPORTSWEAR INTERNATIONAL CORP.,Company
Savane International Corp.,Subsidiary
"Sandler & Travis Trade Advisory Services, Inc.",Company
DATAWATCH CORP,Company
interest rate risk,RiskFactor
foreign currency exchange rate risk,RiskFactor
DATAWATCH CORP International Subsidiaries,Subsidiary
"BEI Medical Systems Company, Inc.",Company
Gyne-Tech,Company
Valley Forge Scientific Corporation,Company
GALEY & LORD INC.,Company
"Burlington Industries, Inc.",Company
"Galey & Lord Industries, Inc.",Subsidiary
"G&L Service Company, North America, Inc.",Subsidiary
"Dimmit Industries, S.A. de C.V.",Subsidiary
Farah Incorporated,Company
"Dominion Textile, Inc.",Company
Swift Denim Group,Subsidiary
Klopman International Group,Subsidiary
"Swift Textiles Europe, Ltd.",Subsidiary
"Polymer Group, Inc.",Company
"DT Acquisition, Inc.",Subsidiary
"competitive and economic factors in the textile, apparel and home furnishings markets",RiskFactor
raw materials and other costs,RiskFactor
weather-related delays,RiskFactor
general economic conditions,RiskFactor
Levi's,Company
Haggar,Company
Savane,Company
Tropical Sportswear Int'l Corporation,Company
Polo Ralph Lauren,Company
Calvin Klein,Company
"Gap, Inc.",Company
Banana Republic,Company
Polo Jeans Co.,Company
Liz Claiborne,Company
Tommy Hilfiger Corporation,Company
H.D. Lee Co. Inc.,Company
Aalfs Manufacturing Inc.,Company
"Texas Apparel, Inc.",Company
Border Corp.,Company
"Land's End, Inc.",Company
L.L. Bean Inc.,Company
"Eddie Bauer, Inc.",Company
J. Crew Group Inc.,Company
Revelacion En El Vestir S.A.,Company
Fairsound U.S.A. Corp.,Company
Hoi Kosher Garment Fty. Ltd.,Company
Luen Fung (Hop Kee) Garment,Company
Hagale Industries Inc.,Company
"Oxford Industries, Inc.",Company
MEDIQ Incorporated,Company
MQ Acquisition Corporation,Company
"Bruckmann, Rosser, Sherrill & Co., L.P.",Company
"MEDIQ/PRN Life Support Services, Inc.",Subsidiary
Rotko Entities,Company
"Ferrer Freeman Thompson & Co., LLC",Company
"Galen Partners, III L.P.",Company
"CH Industries, Inc.",Company
